Date,AAPL,AMD,AMZN,BA,BAC,CAT,COST,CVX,GOOGL,GS,HD,JNJ,JPM,KO,META,MSFT,NFLX,NVDA,PEP,PFE,PG,TSLA,UNH,WMT,XOM
2018-01-02,40.30417251586914,10.979999542236328,59.45050048828125,282.8863525390625,24.637496948242188,131.2938995361328,168.49815368652344,89.45236206054688,53.22063064575195,213.14425659179688,153.7929229736328,110.76417541503906,85.90126037597656,35.25034713745117,180.0074005126953,78.87034606933594,20.10700035095215,4.928265571594238,91.60279846191406,23.83041763305664,72.28070831298828,21.368667602539062,193.09046936035156,28.85519790649414,58.58040237426758
2018-01-03,40.29714584350586,11.550000190734863,60.209999084472656,283.80126953125,24.555097579956055,131.49456787109375,170.52032470703125,90.10441589355469,54.12862777709961,211.16014099121094,154.59442138671875,111.8222427368164,85.98881530761719,35.172943115234375,183.23208618164062,79.23741149902344,20.5049991607666,5.252613544464111,91.3622817993164,24.006986618041992,72.19300079345703,21.149999618530273,195.1160125732422,29.106903076171875,59.7309455871582
2018-01-04,40.48433303833008,12.119999885559082,60.47949981689453,282.7243957519531,24.876453399658203,133.30044555664062,169.19606018066406,89.8239974975586,54.33888244628906,214.11126708984375,155.82135009765625,111.81432342529297,87.22067260742188,35.6683349609375,182.89474487304688,79.934814453125,20.562999725341797,5.280303001403809,91.81230163574219,24.05930519104004,72.70331573486328,20.974666595458984,195.962890625,29.133243560791016,59.81362533569336
2018-01-05,40.94526672363281,11.880000114440918,61.457000732421875,294.32232666015625,24.9918155670166,135.40728759765625,167.98812866210938,89.67675018310547,55.05943298339844,213.01925659179688,157.448974609375,112.73712921142578,86.66071319580078,35.66060256958008,185.39511108398438,80.92584991455078,20.999000549316406,5.325048446655273,92.07611083984375,24.105079650878906,72.75113677978516,21.10533332824707,199.69964599609375,29.305923461914062,59.765411376953125
2018-01-08,40.79317092895508,12.279999732971191,62.34349822998047,295.5707702636719,24.81877326965332,138.81002807617188,168.6413116455078,90.11846923828125,55.25382614135742,209.9263458251953,157.0727081298828,112.8803482055664,86.7886962890625,35.60641860961914,186.81398010253906,81.0084457397461,21.204999923706055,5.488213062286377,91.5484619140625,23.83695411682129,73.13389587402344,22.42733383178711,196.23353576660156,29.739091873168945,60.034080505371094
2018-01-09,40.78849792480469,11.819999694824219,62.6349983215332,303.46148681640625,24.942373275756836,139.1444854736328,166.68186950683594,89.6346664428711,55.183406829833984,211.70199584960938,157.9397735595703,114.67035675048828,87.22864532470703,35.784454345703125,186.4071807861328,80.95338439941406,20.930999755859375,5.486728668212891,91.61827850341797,23.810791015625,72.59966278076172,22.246000289916992,197.21141052246094,29.38202667236328,59.7791748046875
2018-01-10,40.779136657714844,11.960000038146973,62.71649932861328,305.2054748535156,25.173099517822266,138.67626953125,165.90342712402344,90.2095947265625,55.051998138427734,212.02713012695312,156.87644958496094,114.53507232666016,88.18851470947266,35.66060256958008,186.37738037109375,80.58633422851562,21.25200080871582,5.529745101928711,91.15279388427734,23.850032806396484,72.13721466064453,22.31999969482422,195.74464416503906,29.171287536621094,59.303810119628906
2018-01-11,41.01077651977539,12.140000343322754,63.83399963378906,312.696044921875,25.263731002807617,141.4602813720703,169.44656372070312,92.95110321044922,55.14671325683594,212.69410705566406,159.23199462890625,115.18740844726562,88.66045379638672,35.63737487792969,186.3079376220703,80.82491302490234,21.724000930786133,5.539633750915527,90.6872329711914,23.908893585205078,71.88202667236328,22.530000686645508,196.7836151123047,29.273727416992188,59.8893928527832
2018-01-12,41.434268951416016,12.020000457763672,65.26000213623047,320.4057312011719,25.700450897216797,142.3799591064453,171.64767456054688,93.67329406738281,56.069087982177734,214.27806091308594,160.65521240234375,115.9591064453125,90.12425231933594,35.722530364990234,177.9733428955078,82.21971130371094,22.12299919128418,5.512438774108887,91.07518768310547,23.895811080932617,71.45143127441406,22.4146671295166,199.62109375,29.52250099182129,60.295860290527344
2018-01-16,41.223697662353516,11.90999984741211,65.24299621582031,319.40509033203125,25.741649627685547,141.55227661132812,171.37030029296875,92.5584487915039,56.07157516479492,215.4701690673828,160.5652618408203,116.83421325683594,89.80430603027344,36.01666259765625,177.00100708007812,81.07266998291016,22.152999877929688,5.441489219665527,91.4476318359375,23.935047149658203,71.93783569335938,22.67066764831543,203.34043884277344,29.469816207885742,59.916961669921875
2018-01-17,41.9045524597168,12.180000305175781,64.75,334.5099792480469,25.69221305847168,140.87513732910156,172.05029296875,92.80384826660156,56.48812484741211,211.4602508544922,163.4361114501953,116.92967224121094,90.3802261352539,36.24113845825195,176.21714782714844,82.71522521972656,21.75,5.555453777313232,92.4718246459961,24.314350128173828,72.71924591064453,23.143999099731445,208.16854858398438,30.05810546875,60.626564025878906
2018-01-18,41.94198226928711,12.470000267028809,64.66600036621094,324.1700439453125,25.939407348632812,141.15098571777344,171.35238647460938,92.26397705078125,56.332908630371094,209.2260284423828,162.21742248535156,116.88195037841797,90.59619140625,36.28758239746094,178.39999389648438,82.67855072021484,22.033000946044922,5.548534393310547,92.37093353271484,24.190092086791992,72.45410919189453,22.971332550048828,212.2981719970703,30.526395797729492,60.233882904052734
2018-01-19,41.75481414794922,12.59000015258789,64.72899627685547,321.8542785644531,26.137165069580078,143.13323974609375,172.05029296875,92.06063842773438,56.706321716308594,213.51939392089844,164.6711883544922,117.23197937011719,90.39622497558594,36.50432205200195,179.87838745117188,82.58675384521484,22.04599952697754,5.688704490661621,93.23995971679688,24.157398223876953,73.16918182373047,23.334667205810547,212.4640655517578,30.61127281188965,60.04096984863281
2018-01-22,41.41321563720703,12.649999618530273,66.3655014038086,322.1116027832031,26.31844711303711,143.53639221191406,173.92030334472656,92.94408416748047,57.73086166381836,218.02117919921875,167.23130798339844,117.85249328613281,91.45209503173828,36.67461395263672,183.92665100097656,84.06414794921875,22.757999420166016,5.777209758758545,94.2796630859375,24.150854110717773,73.82798767089844,23.437332153320312,212.6475067138672,30.862977981567383,60.79880142211914
